0.05 20.0
b1 43 33
b2 65 37
b3 53 34
b4 37 67
b5 29 19
b6 39 49
b7 40 18
b8 22 40
b9 50 62
b10 16 41
b11 18 52
b12 39 59
b13 61 28
b14 48 57
b15 63 43
b16 59 52
b17 36 57
b18 44 66
b19 48 51
b20 31 50
b21 37 19
b22 64 50
b23 49 34
b24 20 49
b25 45 28
b26 54 39
b27 55 40
b28 25 65
b29 39 46
b30 24 62
b31 24 26
b32 26 34
b33 43 53
b34 22 35
b35 27 54
b36 31 38
b37 39 67
b38 20 60
b39 23 57
b40 52 55
b41 26 29
b42 27 55
b43 62 53
b44 61 46
b45 65 47
b46 23 44
b47 39 22
b48 65 33
b49 57 27
b50 47 65
b51 67 32
b52 38 57
b53 54 45
b54 43 21
b55 18 61
b56 34 56
b57 17 63
b58 18 47
b59 46 34
b60 50 37
b61 40 23
b62 33 23
b63 60 19
b64 36 45
b65 50 47
b66 57 56
b67 67 61
b68 44 40
b69 52 63
b70 54 27
b71 42 42
b72 64 22
b73 61 61
b74 61 67
b75 38 42
b76 19 28
b77 22 33
b78 66 57
b79 36 32
b80 60 41
b81 16 58
b82 40 50
b83 47 57
b84 22 16
b85 67 22
b86 20 25
b87 56 37
b88 39 44
b89 37 24
b90 38 27
b91 39 33
b92 56 33
b93 26 16
b94 65 35
b95 41 59
b96 51 19
b97 40 66
b98 17 67
b99 22 62
b100 49 66
